,Actual Cash Value,Body Style,Closing Date,Color,Cylinders,Drive,Engine,Fuel,Keys,Location,Odometer,Offer Ends in,Primary Damage,Repair Cost,Runs & Drive:,Sale Date,Sale Status,Secondary Damage,Special Note,Title State/Type,VIN,bid
Salvage-2003-Dodge-DURANGO+SP-for-Sale,"$ 2,413 USD",4dr sport,Virtual Sale date not set,Blue,8,FOUR BY FOUR,4.7L 8,Gasoline,YES,OH - CLEVELAND WEST,177394 ACTUAL,,Front end,"$ 12,405 USD",Unknown,Future Sale,On minimum bid,Side,,OH CLEAN TITLE,1D4HS38N63F526149  Get instaVIN history report,
Salvage-2009-Chevrolet-SUBURBAN+K-for-Sale,"$ 13,092 USD",4dr sport,Virtual Sale date not set,White,8,FOUR BY FOUR,5.3L 8,Flexible fuel,YES,NC - RALEIGH,215687 EXEMPT,,Front end,"$ 7,502 USD",Run & drive verified,Future Sale,Pure sale,,,NC SALVAGE CERTIFICATE,1GNFK26349R141333  Get instaVIN history report,
Salvage-2017-Chevrolet-CRUZE+LT-for-Sale,"$ 14,312 USD",Sedan 4 door,Virtual Sale date not set,Silver,4,FRONT-WHEEL DRIVE,1.4L 4,Gasoline,YES,IN - INDIANAPOLIS,0 NOT ACTUAL,,Front end,,Unknown,Future Sale,Pure sale,Side,,IN SALVAGE TITLE,1G1BE5SM4H7181610  Get instaVIN history report,
Salvage-2015-Toyota-COROLLA+L-for-Sale,"$ 8,582 USD",Sedan 4 door,Virtual Sale date not set,White,4,FRONT-WHEEL DRIVE,1.8L 4,Gasoline,YES,IN - INDIANAPOLIS,0 NOT ACTUAL,,Front end,"$ 11,071 USD",Unknown,Future Sale,Pure sale,,,IN SALVAGE TITLE,2T1BURHE2FC272663  Get instaVIN history report,
Salvage-2010-Nissan-MURANO+S-for-Sale,"$ 8,125 USD",4dr sport,09/13/2019 at 09.00 AM EDT,White,6,ALL WHEEL DRIVE,3.5L 6,Gasoline,NO,MA - NORTH BOSTON,0 NOT ACTUAL,,Front end,"$ 9,398 USD",Unknown,09/13/2019 at 10.00 AM EDT,On minimum bid,Undercarriage,,MA SALVAGE TITLE,JN8AZ1MW7AW128902  Get instaVIN history report,
Salvage-2016-Subaru-CROSSTREK-for-Sale,"$ 22,274 USD",4dr sport,Virtual Sale date not set,Silver,4,ALL WHEEL DRIVE,2.0L 4,Gasoline,YES,CO - DENVER,30680 ACTUAL,,Front end,"$ 16,400 USD",Run & drive verified,Future Sale,Pure sale,,,CO CLEAN TITLE,JF2GPANC8G8241126  Get instaVIN history report,
Salvage-2006-Toyota-CAMRY+LE-for-Sale,"$ 4,541 USD",Sedan 4 door,Virtual Sale date not set,Silver,4,FRONT-WHEEL DRIVE,2.4L 4,Gasoline,YES,SC - COLUMBIA,154127 ACTUAL,,Front end,"$ 4,447 USD",Run & drive verified,Future Sale,Pure sale,,,SC CLEAN TITLE,4T1BE32K26U744450  Get instaVIN history report,
Salvage-2007-Nissan-MURANO+SL-for-Sale,"$ 5,401 USD",4dr sport,Virtual Sale date not set,Blue,6,ALL WHEEL DRIVE,3.5L 6,Gasoline,NO,IN - INDIANAPOLIS,0 EXEMPT,,Front end,,Unknown,Future Sale,Pure sale,Side,,IN CLEAN TITLE,JN8AZ08W17W633704  Get instaVIN history report,
Salvage-2016-Honda-CIVIC+EX-for-Sale,"$ 16,942 USD",Sedan 4 door,09/12/2019 at 11.30 AM PDT,Black,4,FRONT-WHEEL DRIVE,2.0L 4,Gasoline,NO,CA - SAN BERNARDINO,0 NOT ACTUAL,,Front end,"$ 18,500 USD",Unknown,09/12/2019 at 12.00 PM PDT,On minimum bid,Side,,CA NON-REPAIRABLE,19XFC2F88GE214777  Get instaVIN history report,
Salvage-2010-Chevrolet-MALIBU+LTZ-for-Sale,"$ 5,228 USD",Sedan 4 door,Virtual Sale date not set,Gray,4,FRONT-WHEEL DRIVE,2.4L 4,Gasoline,YES,IN - INDIANAPOLIS,142054 ACTUAL,,Front end,"$ 5,228 USD",Run & drive verified,Future Sale,Pure sale,,,IN SALVAGE TITLE,1G1ZE5EB8A4160386  Get instaVIN history report,
Salvage-2005-Jeep-GRAND+CHEROKEE-for-Sale,"$ 3,675 USD",4dr sport,09/10/2019 at 09.00 AM EDT,White,6,REAR-WHEEL DRIVE,3.7L 6,Gasoline,YES,FL - OCALA,177129 ACTUAL,,Front end,"$ 14,462 USD",Vehicle Starts,09/10/2019 at 10.00 AM EDT,On minimum bid,Side,,FL CERTIFICATE OF DESTRUCTION,1J4GS48K85C634100  Get instaVIN history report,
Salvage-2010-Dodge-CHARGER+SX-for-Sale,"$ 5,993 USD",Sedan 4 door,Virtual Sale date not set,Red,6,REAR-WHEEL DRIVE,3.5L 6,Gasoline,YES,MO - ST. LOUIS,172285 ACTUAL,,Front end,"$ 4,040 USD",Unknown,Future Sale,Pure sale,Mechanical,,MO SALVAGE CERTIFICATE,2B3CA3CV7AH171121  Get instaVIN history report,
Salvage-2014-Toyota-SIENNA+XLE-for-Sale,"$ 19,239 USD",Sports van,Virtual Sale date not set,Blue,6,FRONT-WHEEL DRIVE,3.5L 6,Gasoline,YES,IN - INDIANAPOLIS,80481 ACTUAL,,Top/roof,,Run & drive verified,Future Sale,Pure sale,,,IN SALVAGE TITLE,5TDYK3DC4ES511444  Get instaVIN history report,
Salvage-2007-Pontiac-GRAND+PRIX-for-Sale,"$ 2,585 USD",Sedan 4 door,Virtual Sale date not set,Black,6,FRONT-WHEEL DRIVE,3.8L 6,Gasoline,NO,NC - RALEIGH,206578 EXEMPT,,Front end,,Unknown,Future Sale,Pure sale,,,NC SALVAGE CERTIFICATE,2G2WP552671209145  Get instaVIN history report,
Salvage-2010-Volkswagen-ROUTAN+SE-for-Sale,"$ 6,246 USD",Sports van,Virtual Sale date not set,Black,6,FRONT-WHEEL DRIVE,3.8L 6,Gasoline,NO,MI - DETROIT,139114 ACTUAL,,Front end,"$ 5,678 USD",Unknown,Future Sale,Pure sale,,,MI CLEAN TITLE,2V4RW3D14AR209412  Get instaVIN history report,
Salvage-2013-Ford-C-MAX+SEL-for-Sale,"$ 10,012 USD",Hatchback,Virtual Sale date not set,Gray,4,FRONT-WHEEL DRIVE,2.0L 4,Hybrid,YES,NV - LAS VEGAS,63586 ACTUAL,,Rear end,"$ 8,348 USD",Run & drive verified,Future Sale,Pure sale,Front end,,NV SALVAGE TITLE,1FADP5BUXDL517570  Get instaVIN history report,
Salvage-2014-Mazda-3+TOURING-for-Sale,"$ 11,974 USD",Hatchback,Virtual Sale date not set,White,4,FRONT-WHEEL DRIVE,2.0L 4,Gasoline,YES,MN - MINNEAPOLIS,88789 ACTUAL,,Front end,"$ 11,704 USD",Run & drive verified,Future Sale,Pure sale,Side,,MN SALVAGE TITLE,JM1BM1L73E1207009  Get instaVIN history report,
Salvage-2010-Honda-ODYSSEY+EX-for-Sale,"$ 4,723 USD",Sports van,Virtual Sale date not set,Blue,6,FRONT-WHEEL DRIVE,3.5L 6,Gasoline,YES,IN - INDIANAPOLIS,289291 ACTUAL,,Front end,"$ 5,002 USD",Run & drive verified,Future Sale,Pure sale,,VEH LOCATED @ CICERO SUBLOT,IN SALVAGE TITLE,5FNRL3H48AB060862  Get instaVIN history report,
Salvage-2017-Nissan-ROGUE+S-for-Sale,"$ 16,042 USD",4dr sport,,White,4,ALL WHEEL DRIVE,2.5L 4,Gasoline,NO,RENTAL VEHICLE SALE,0 NOT ACTUAL,,Front end,"$ 18,463 USD",Unknown,Future Sale,On approval,,,MO SALVAGE CERTIFICATE,KNMAT2MV7HP511138  Get instaVIN history report,
Salvage-2015-Jeep-PATRIOT+LA-for-Sale,"$ 21,299 USD",4dr sport,Virtual Sale date not set,Gray,4,FOUR BY FOUR,2.4L 4,Gasoline,NO,NY - NEWBURGH,0 NOT ACTUAL,,All over,,Unknown,Future Sale,Pure sale,Biohazard/chemical,,NY PARTS ONLY,1C4NJRFB4FD312646  Get instaVIN history report,
Salvage-2017-Nissan-ROGUE+S-for-Sale,"$ 14,605 USD",4dr sport,,Red,4,ALL WHEEL DRIVE,2.5L 4,Gasoline,YES,RENTAL VEHICLE SALE,41858 ACTUAL,,Front end,"$ 18,919 USD",Run & drive verified,Future Sale,On approval,Rear end,,MO SALVAGE CERTIFICATE,JN8AT2MV0HW268119  Get instaVIN history report,
Salvage-2013-Honda-CIVIC+LX-for-Sale,"$ 13,980 CAD",Coupe,Virtual Sale date not set,Black,4,FRONT-WHEEL DRIVE,1.8L 4,Gasoline,NO,AB - CALGARY,0 NOT ACTUAL,,All over,"$ 11,950 CAD",Unknown,Future Sale,Pure sale,,,AB BILL OF SALE - SALVAGE,2HGFG3B55DH001941  Get instaVIN history report,
Salvage-2013-Lincoln-MKX-for-Sale,"$ 16,842 USD",4dr sport,Virtual Sale date not set,Brown,6,FRONT-WHEEL DRIVE,3.7L 6,Gasoline,YES,NC - RALEIGH,121318 ACTUAL,,Water/flood,,Unknown,Future Sale,Pure sale,,VEH LOC @ CONVERSE SUB LOT,NC WATER/FLOOD DAMAGE,2LMDJ6JK8DBL35531  Get instaVIN history report,
Salvage-2005-Lexus-RX+330-for-Sale,"$ 8,058 USD",4dr sport,Virtual Sale date not set,Blue,6,ALL WHEEL DRIVE,3.3L 6,Gasoline,YES,MI - DETROIT,145652 EXEMPT,,Front end,"$ 7,504 USD",Run & drive verified,Future Sale,Pure sale,,,MI CLEAN TITLE,JTJHA31U150091318  Get instaVIN history report,
Salvage-2018-Hyundai-ELANTRA+SE-for-Sale,"$ 14,870 USD",Sedan 4 door,,Gray,4,FRONT-WHEEL DRIVE,2.0L 4,Gasoline,YES,RENTAL VEHICLE SALE,24283 ACTUAL,,Front end,"$ 14,896 USD",Run & drive verified,Future Sale,Pure sale,,,MO SALVAGE CERTIFICATE,5NPD84LFXJH306077  Get instaVIN history report,
Salvage-2010-Hyundai-SONATA+GLS-for-Sale,"$ 2,738 USD",Sedan 4 door,Virtual Sale date not set,Gray,4,FRONT-WHEEL DRIVE,2.4L 4,Gasoline,YES,SC - COLUMBIA,196945 ACTUAL,,Front end,"$ 4,684 USD",Run & drive verified,Future Sale,Pure sale,,,SC SALVAGE TITLE,5NPET4AC9AH617592  Get instaVIN history report,
Salvage-2019-Hyundai-ELANTRA+SE-for-Sale,,Sedan 4 door,09/17/2019 at 09.00 AM EDT,Black,4,FRONT-WHEEL DRIVE,2.0L 4,Gasoline,YES,IN - INDIANAPOLIS,7053 ACTUAL,,Front end,,Unknown,09/17/2019 at 10.00 AM EDT,On minimum bid,,,IN SALVAGE TITLE,5NPD74LF2KH405335  Get instaVIN history report,
Salvage-2006-Honda-ACCORD+EX-for-Sale,"$ 2,084 USD",Sedan 4 door,Virtual Sale date not set,Red,4,FRONT-WHEEL DRIVE,2.4L 4,Gasoline,YES,NC - RALEIGH,0 EXEMPT,,Water/flood,"$ 1,921 USD",Unknown,Future Sale,On minimum bid,Biohazard/chemical,VEH LOC @ CONVERSE SUB LOT,SC FLOOD - SALVAGE,1HGCM56796A122668  Get instaVIN history report,
Salvage-2014-Honda-CIVIC+HYBRID-for-Sale,"$ 14,030 USD",Sedan 4 door,Virtual Sale date not set,Gray,4,FRONT-WHEEL DRIVE,1.5L 4,Hybrid,YES,CA - SACRAMENTO,64164 ACTUAL,,Rear end,"$ 9,446 USD",Vehicle Starts,Future Sale,Pure sale,,VEH LOC @ FRUITRIDGE SUBLOT,CA SALVAGE CERTIFICATE,19XFB4F30EE200534  Get instaVIN history report,
Salvage-2016-Chevrolet-MALIBU+LT-for-Sale,"$ 11,082 USD",Sedan 4 door,Virtual Sale date not set,Charcoal,4,FRONT-WHEEL DRIVE,1.5L 4,Gasoline,YES,IN - INDIANAPOLIS,0 NOT ACTUAL,,Front end,,Unknown,Future Sale,Pure sale,,,IN SALVAGE TITLE,1G1ZE5ST0GF274053  Get instaVIN history report,
